meter_id,reading_timestamp,region,feeder_type,kwh_consumed,voltage_avg,temperature_c,outage_minutes
MTR-00031,2026-06-02 06:00:00,North,commercial,10.64,241.3,22.7,0
MTR-00032,2026-06-02 07:00:00,Central,mixed,6.79,227.8,19.7,20
MTR-00033,2026-06-02 08:00:00,East,mixed,8.59,232.2,17.3,0
MTR-00034,2026-06-02 09:00:00,Central,residential,5.02,230.9,15.1,0
MTR-00035,2026-06-02 10:00:00,Central,residential,2.98,240.1,32.3,0
MTR-00036,2026-06-02 11:00:00,East,commercial,8.17,234.4,26.4,0
MTR-00037,2026-06-02 12:00:00,East,industrial,17.84,227.1,18.4,0
MTR-00038,2026-06-02 13:00:00,North,mixed,5.45,228.8,20.8,30
MTR-00039,2026-06-02 14:00:00,South,residential,2.86,225.8,25.6,0
MTR-00040,2026-06-02 15:00:00,Central,industrial,18.9,224.5,20.1,30
MTR-00041,2026-06-02 16:00:00,East,residential,6.18,218.9,28.4,10
MTR-00042,2026-06-02 17:00:00,East,residential,4.63,223.9,33.1,0
MTR-00043,2026-06-02 18:00:00,North,commercial,10.8,223.0,28.8,15
MTR-00044,2026-06-02 19:00:00,East,residential,3.19,225.3,27.6,0
MTR-00045,2026-06-02 20:00:00,South,commercial,10.37,216.3,29.9,0
MTR-00046,2026-06-02 21:00:00,North,residential,4.09,219.6,31.9,0
MTR-00047,2026-06-02 22:00:00,West,industrial,17.36,237.8,18.5,10
MTR-00048,2026-06-02 23:00:00,West,commercial,9.5,238.4,33.9,0
MTR-00049,2026-06-03 00:00:00,South,residential,4.54,227.5,17.9,0
MTR-00050,2026-06-03 01:00:00,South,industrial,18.34,217.1,17.4,0
MTR-00051,2026-06-03 02:00:00,West,mixed,8.25,222.2,21.5,0
MTR-00052,2026-06-03 03:00:00,Central,industrial,19.71,225.8,20.0,0
MTR-00053,2026-06-03 04:00:00,East,industrial,21.61,221.0,34.2,20
MTR-00054,2026-06-03 05:00:00,Central,residential,4.35,224.8,16.3,0
MTR-00055,2026-06-03 06:00:00,Central,residential,2.74,235.8,22.3,0
MTR-00056,2026-06-03 07:00:00,North,commercial,9.82,225.2,21.8,0
MTR-00057,2026-06-03 08:00:00,South,industrial,18.7,235.5,24.9,0
MTR-00058,2026-06-03 09:00:00,West,mixed,8.73,220.9,28.3,0
MTR-00059,2026-06-03 10:00:00,West,residential,4.55,233.0,20.5,0
MTR-00060,2026-06-03 11:00:00,North,mixed,9.06,242.9,28.5,0
