meter_id,reading_timestamp,region,feeder_type,kwh_consumed,voltage_avg,temperature_c,outage_minutes
MTR-00061,2026-06-03 12:00:00,East,industrial,18.75,238.9,25.1,0
MTR-00062,2026-06-03 13:00:00,North,commercial,8.64,243.6,31.3,0
MTR-00063,2026-06-03 14:00:00,South,mixed,6.05,235.5,22.9,0
MTR-00064,2026-06-03 15:00:00,West,commercial,10.62,237.6,28.1,0
MTR-00065,2026-06-03 16:00:00,North,commercial,9.31,217.4,17.8,0
MTR-00066,2026-06-03 17:00:00,West,mixed,7.06,231.6,16.9,0
MTR-00067,2026-06-03 18:00:00,East,mixed,10.05,236.8,31.9,0
MTR-00068,2026-06-03 19:00:00,West,commercial,11.51,229.6,32.1,0
MTR-00069,2026-06-03 20:00:00,South,residential,3.85,241.0,29.3,0
MTR-00070,2026-06-03 21:00:00,West,commercial,8.27,227.6,22.2,0
MTR-00071,2026-06-03 22:00:00,North,mixed,6.56,237.6,15.3,20
MTR-00072,2026-06-03 23:00:00,West,mixed,6.8,226.9,24.3,10
MTR-00073,2026-06-04 00:00:00,West,commercial,9.52,226.9,24.5,0
MTR-00074,2026-06-04 01:00:00,Central,commercial,13.32,231.0,32.1,15
MTR-00075,2026-06-04 02:00:00,East,residential,4.83,221.1,15.8,0
MTR-00076,2026-06-04 03:00:00,West,commercial,10.83,223.8,23.8,20
MTR-00077,2026-06-04 04:00:00,South,industrial,21.22,217.5,32.0,20
MTR-00078,2026-06-04 05:00:00,North,residential,6.12,242.6,30.8,0
MTR-00079,2026-06-04 06:00:00,East,commercial,7.9,242.5,19.1,0
MTR-00080,2026-06-04 07:00:00,East,industrial,19.62,219.2,17.6,5
MTR-00081,2026-06-04 08:00:00,South,residential,4.86,241.4,26.4,0
MTR-00082,2026-06-04 09:00:00,Central,residential,3.69,235.5,26.7,0
MTR-00083,2026-06-04 10:00:00,North,residential,3.55,230.9,31.1,0
MTR-00084,2026-06-04 11:00:00,West,industrial,18.72,228.1,14.3,0
MTR-00085,2026-06-04 12:00:00,Central,commercial,11.17,223.6,23.4,5
MTR-00086,2026-06-04 13:00:00,North,mixed,7.71,225.0,24.0,0
MTR-00087,2026-06-04 14:00:00,North,industrial,19.96,233.1,33.0,0
MTR-00088,2026-06-04 15:00:00,Central,mixed,7.08,238.3,32.3,0
MTR-00089,2026-06-04 16:00:00,Central,industrial,18.32,222.8,25.9,0
MTR-00090,2026-06-04 17:00:00,South,commercial,10.51,238.2,28.8,0
